NEW BOM ID,Component Type,PHX Class,Supplier/Manufacturer,Address,Email,Contact Number,SUPPLIER MFG LT,TRANSIT LT,AMZ Safety Days,WH Safety Days,PO Issue Days,Master Pack,MOQ,OrderingUOM,Unit Price (Published Online),Shipping Cost,Landed Cost,"Conversion ( to L, Kg, Caps, pc)",Converted Unit Price,IMS-Unit,Supplier/Manufacturer,Address,Email,Contact Number,Supplier Payment Terms,Product Link,Supplier Product ID/Model #,Description,Remarks,Alternative Supplier 1,Alternative Supplier 2,Monthly Usage,Monthly Spend,duplicate,TOTAL LT BOM MASTER,,Comments,,,,,,,,,
LABL-TA-3.5x4.75-Alc-Free-Pillow-Spray-4oz,Label,,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,30,3,1,500,pcs,0.17,0,0.17,1,0.17,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
LABL-AY-Scars-No-More-Side,Label,B,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,30,3,1,500,pcs,0.21,0,0.21,1,0.21,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
PCH-8oz-PS-Stndup-Matt,Container/Pouch,C,Sav on Bags,"789 E Cedar St, Ontario, CA 91761",,909-923-9588,3,6,60,30,3,1,6000,pcs,0.1617,0.0709,0.2326,1,0.2326,Pcs,Sav on Bags,"789 E Cedar St, Ontario, CA 91761",,909-923-9588,CBS,https://www.sav-onbags.com/8-oz-Matte-Stand-Up-Pouch_p_128.html,1010-008,,,,,,,1,12,,,,,,,,,,,
LABL-TA-8.79x1.58-Four-In-One-Acne-Treatment-4oz,Label,B,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,30,3,1,500,pcs,0.133,0,0.133,1,0.133,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
LABL-TA-1.25x7.125-Scar-Cream-Side-Shay,Label,PLC-2024,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,30,3,1,500,pcs,0.13,0,0.13,1,0.13,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
LABL-TA-1.25x7.125-Scar-Cream-Side-PLSF,Label,C,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,30,3,1,500,pcs,0.12,0,0.12,1,0.12,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
PCH-4oz-NAT-Stevia-Preprinted,Container/Pouch,,Yason Pack,"No. 22 Huacui 1st Lane, Qiaotou Town, Dongguan City, Guangdong Province, China",,,29,40,60,60,3,1,5000,pcs,0.16,0.04,0.2,1,0.2,Pcs,Yason Pack,"No. 22 Huacui 1st Lane, Qiaotou Town, Dongguan City, Guangdong Province, China",sam@yasonpack.cn,86 13925595106,CBS,,,,,,,,,1,72,,,,,,,,,,,
LABL-TA-5.93x2.37-Acne-Face-Spray-4oz,Label,B,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,30,3,1,500,pcs,0.2223,0,0.2223,1,0.2223,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
PCH-24oz-PS-Stndup-Matt,Container/Pouch,,Sav on Bags,"2980 Enterprise St., Brea CA 92821",orders@pbfy.com,877-224-7496,3,6,60,30,3,1,100,pcs,0.46,,0.46,1,0.46,Pcs,PBFY,"2980 Enterprise St., Brea CA 92821",,909-923-9588,CBS,https://www.sav-onbags.com/2-lb-Stand-Up-Pouch_p_91.html,1010-032,,,,,,,1,12,,,,,,,,,,,
LABL-AY-Clear-Sleep-Pillow-Mist-4oz,Label,,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,30,3,1,500,pcs,0.27,0,0.27,1,0.27,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
PCH-2oz-PS-Stndup-Matt,Container/Pouch,C,Yason Pack,"No. 22 Huacui 1st Lane, Qiaotou Town, Dongguan City, Guangdong Province, China",,,29,40,60,30,3,1,10000,pcs,0.24,0,0.24,1,0.24,Pcs,Yason Pack,"No. 22 Huacui 1st Lane, Qiaotou Town, Dongguan City, Guangdong Province, China",sam@yasonpack.cn,86 13925595106,CBS,,,,,,,,,1,72,,,,,,,,,,,
Label-AY-Namaste-In-Bed-Sleep-Spray-8oz,Label,C,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,30,3,1,500,pcs,0.434,0,0.434,1,0.434,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
CLEARECOBAG-10.5X14,Eco Bags,,EcoEnclose,"280 S Taylor Ave, Ste. 200 Louisville, CO 80027",jeremy@ecoenclose.com,888-445-6575 ext. 004,4,5,60,30,3,1,10000,pcs,0.08,0,0.08,1,0.08,Pcs,EcoEnclose,"280 S Taylor Ave, Ste. 200 Louisville, CO 80027",jeremy@ecoenclose.com,888-445-6575 ext. 004,NET30,,FS11-1000-SUFW,,,,,,,1,12,,,,,,,,,,,
LABL-AY-Charcoal-To-Sparkle-Acne-Wash-3.4oz-HS,CM Packaging-Label,C,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,0,3,1,500,pcs,0.22,0,0.22,1,0.22,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
AY-Charcoal-To-Sparkle-Acne-Wash-3.4oz-HS,Turnkey FG,C,Health Specialty,"8339 Allport Ave Santa Fe Springs, CA 90670 USA",christina@healthspecialty.com,562-273-0348,76,12,60,30,3,1,500,pcs,1.7,0,1.7,1,1.7,Pcs,Health Specialty,"8339 Allport Ave Santa Fe Springs, CA 90670 USA",christina@healthspecialty.com,562-273-0348,NET30,,,,,,,,,1,91,,,,,,,,,,,
RM-PWD-AscorbicAcid,Raw Material,,Nutravative,"601 Century Parkway, Suite 200 Allen, TX 7503",marvin@nutravative.com,469-361-3361,6,5,60,30,3,1,300,kg,7.5,0,7.5,1,7.5,Kg,Nutravative,"601 Century Parkway, Suite 200 Allen, TX 7503",marvin@nutravative.com,469-361-3361,NET30,,,,,,,,,1,14,,For Hibernate,,,,,,,,,
M139CL-Safety-Shrink-Band-75x28mm,Safety Shrink Band,,Container and Packaging,"1345 E State St. Eagle, ID 83616 USA",Jared.Murray@containers.com,(208) 639-5868,7,7,60,30,3,1,1000,pcs,0.05,0,0.05,1,0.05,Pcs,Container and Packaging,"1345 E State St. Eagle, ID 83616 USA",Jared.Murray@containers.com,(208) 639-5868,NET45,,M139CL,,,,,,,1,17,,,,,,,,,,,
BTL-2oz-Cosmo-White-20-410,Container/Pouch,C,Container and Packaging,"1345 E State St. Eagle, ID 83616 USA",Jared.Murray@containers.com,(208) 639-5868,7,7,60,30,3,1,10000,pcs,0.166,0.0127,0.1787,1,0.1787,Pcs,"Guangzhou Sunri Pack Material Co., Ltd","A315, 1489 Fanghua Rd, Renhe Town, Baiyun District, Guangzhou510470",Jared.Murray@containers.com,(208) 639-5868,NET45,https://www.containerandpackaging.com/products/pet-imperial-bullet-cosmo/B379W,B379W,,,,,,,1,17,,,,,,,,,,,
TA-Pimple-Tool-Kit,Raw Material,C,Cona Industrial,"No. 6-2, Middle Road, Mayan Airport Industrial Estate, Jiangcheng District, Yangjiang, Guangdong, China",,,30,19,60,30,3,1,1000,pcs,1.39,0.315,1.705,1,1.705,Pcs,Cona Industrial,"No. 6-2, Middle Road, Mayan Airport Industrial Estate, Jiangcheng District, Yangjiang, Guangdong, China",,,CBS,,,,,,,,,1,52,,,,,,,,,,,
LABL-NS-6x5-Monk-Fruit-Liquid-Stevia-US-8oz,Label,B,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,30,3,1,500,pcs,0.1863,0,0.1863,1,0.1863,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
LABL-5.75X5.25-Linen-Spray-Lav-Wrap,Label,B,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,30,3,1,500,pcs,0.33,0,0.33,1,0.33,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
LABL-AY-7.125x3-Bootylicious-8oz,Label,B,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,30,3,1,500,pcs,0.27,0,0.27,1,0.27,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
LABL-8.79x1.58-AY-Exfoliate-Bad-Vibes-Acne-Scrub-4oz,Label,C,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,30,3,1,500,pcs,0.23,0,0.23,1,0.23,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
LABL-TA-3.75x4.75-Air-Freshener-4oz,Label,C,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,30,3,1,500,pcs,0.12,0.01,0.13,1,0.13,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
LABL-TA-3.75x4.75-Shower-Spray-Xtra-Stre-4oz,Label,C,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,30,3,1,500,pcs,0.17,0,0.17,1,0.17,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
SPRAY-MIST-20-410-White,Top Cover,,"Jiangyin City Qingrun Plastic Co., Ltd.",Alibaba,Alibaba,Alibaba,20,30,60,30,3,1,100000,pcs,0.06,0,0.06,1,0.06,Pcs,"Jiangyin City Qingrun Plastic Co., Ltd.",Alibaba,Alibaba,Alibaba,CBS,,,,,,,,,1,53,,,,,,,,,,,
LABL-AY-Acne-Face-Spray-4oz,Label,,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,30,3,1,500,pcs,0.41,0,0.41,1,0.41,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
LABL-TA-3.75x4.75-Toner-4oz,Label,B,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,30,3,1,500,pcs,0.3605,0,0.3605,1,0.3605,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
LABL-1.25x7.125-Breakout-Warrior-Acne-Cream-Side,Label,B,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,30,3,1,500,pcs,0.0855,0,0.0855,1,0.0855,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
LABL-5.3125X5.25-AY-Reverse-Warrior-Body-Spray-8oz,Label,C,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,30,3,1,500,pcs,0.43,0,0.43,1,0.43,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
LABL-TA-Acne-Body-Spray,Label,,Wizard Labels,"29136 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3038,6,3,60,30,3,1,500,pcs,0.24,,0.24,1,0.24,Pcs,Wizard Labels,"29136 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
Scoop-1.25cc,Scoop,C,National Measure,"7920 215th St. W. Lakeville, MN 55044",CustomerService1@nationalpolymersllc.com,800-328-4577,6,7,60,30,3,1,4500,pcs,0.07,0.0224,0.0924,1,0.0924,Pcs,National Measure,"7920 215th St. W. Lakeville, MN 55044",CustomerService1@nationalpolymersllc.com,800-328-4577,CBS,https://www.nationalmeasures.com/products/1-25-cc-scoop/,1.25LH,,,,,,,1,16,,,,,,,,,,,
LABL-AY-Charcoal-To-Sparkle-Acne-Wash-8oz-HS,CM Packaging-Label,C,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,0,3,1,500,pcs,0.15,0,0.15,1,0.15,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
AY-Charcoal-To-Sparkle-Acne-Wash-8oz-HS,Turnkey FG,C,Health Specialty,"8339 Allport Ave Santa Fe Springs, CA 90670 USA",christina@healthspecialty.com,562-273-0348,76,12,60,30,3,1,1000,pcs,2.41,0,2.41,1,2.41,Pcs,Health Specialty,"8339 Allport Ave Santa Fe Springs, CA 90670 USA",christina@healthspecialty.com,562-273-0348,NET30,,,,,,,,,1,91,,,,,,,,,,,
TA-Hair-Growth-Spray-Bamboo-PLSF,Turnkey FG,,PLSF,"150 Douglas Ave Dunedin, FL 34698",,,100,47,60,30,3,1,550,pcs,6,0,6,1,6,Pcs,PLSF,"150 Douglas Ave Dunedin, FL 34698",orders@privatelabel.net,17274661703,Due Upon Reciept,,,,,,,,,1,150,,,,,,,,,,,
WL-Four-In-One-8oz-PLSF,White Label,C,PLSF,"150 Douglas Ave Dunedin, FL 34698",,,100,47,60,30,3,1,500,pcs,6.59,0,6.59,1,6.59,Pcs,PLSF,"150 Douglas Ave Dunedin, FL 34698",orders@privatelabel.net,17274661703,Due Upon Reciept,,,,,,,,,1,150,,,,,,,,,,,
TA-Oil-Free-Skin-Repair-Serum-PLSF,Turnkey FG,C,PLSF,"150 Douglas Ave Dunedin, FL 34698",,,100,47,60,30,3,1,1000,pcs,1.43,0,1.43,1,1.43,Pcs,PLSF,"150 Douglas Ave Dunedin, FL 34698",orders@privatelabel.net,17274661703,Due Upon Reciept,,,,,,,,,1,150,,,,,,,,,,,
TA-Oil-Free-Skin-Repair-Serum-Shay,Turnkey FG,C,Shay Labs,"2200 Tech Court, Woodstock, IL 60098",pam@shaylabs.com,(800) 358-6155,60,8,60,30,3,1,1000,pcs,1.43,0.1389,1.5689,1,1.5689,Pcs,,,pam@shaylabs.com,(800) 358-6155,50 DP/50 NET60,,,,,,,,,,71,,,,,,,,,,,
TA-Hair-Growth-Spray-Lavender-PLSF,Turnkey FG,,PLSF,"150 Douglas Ave Dunedin, FL 34698",,,100,47,60,30,3,1,700,pcs,6,0,6,1,6,Pcs,PLSF,"150 Douglas Ave Dunedin, FL 34698",orders@privatelabel.net,17274661703,Due Upon Reciept,,,,,,,,,1,150,,,,,,,,,,,
TA-Deep-Wrinkle-Serum-PLSF,Turnkey FG,C,PLSF,"150 Douglas Ave Dunedin, FL 34698",,,100,47,60,30,3,1,500,pcs,2.5,0,2.5,1,2.5,Pcs,PLSF,"150 Douglas Ave Dunedin, FL 34698",orders@privatelabel.net,17274661703,Due Upon Reciept,,,,,,,,,1,150,,,,,,,,,,,
PCH-4oz-Stndup-WH-Matt,Container/Pouch,B,Sav on Bags,"789 E Cedar St, Ontario, CA 91761",,909-923-9588,3,6,60,30,3,1,4000,pcs,0.24,0,0.24,1,0.24,Pcs,Sav on Bags,"789 E Cedar St, Ontario, CA 91761",,909-923-9588,CBS,https://www.sav-onbags.com/4-oz-Matte-Stand-Up-Pouch_p_126.html,1010-004,,,,,,,1,12,,,,,,,,,,,
LABL-TA-Dermatitis-Side,Label,C,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,30,3,1,500,pcs,0.39,0,0.39,1,0.39,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
LABL-Crepey-Skin-Microdermabrasion-Mask-Side,Label,,Wizard Labels,"29136 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3038,6,3,60,30,3,1,500,pcs,0.387,,0.387,1,0.387,Pcs,Wizard Labels,"29136 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
LABL-Crepey-Skin-Microdermabrasion-Mask-Top,Label,,Wizard Labels,"29137 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3039,6,3,60,30,3,1,500,pcs,0.387,,0.387,1,0.387,Pcs,Wizard Labels,"29137 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
RM-PWD-MyoInositol,Raw Material,C,Jiaherb,"1 Chapin Road, Unit 1 Pine Brook NJ 07058",cd@jiaherbinc.com,714.209.7423,5,10,60,30,3,1,20,kg,16,5.85,21.85,1,21.85,Kg,Jiaherb,"1 Chapin Road, Unit 1 Pine Brook NJ 07058",cd@jiaherbinc.com,714.209.7423,NET30,,,,,,,,,1,18,,,,,,,,,,,
LABL-AY-Wild-God-Toner-4oz,Label,C,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,30,3,1,500,pcs,0.31,0,0.31,1,0.31,Pcs,,,ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
LABL-10.5905x1.6418-TA-Four-In-One-Acne-Treatment-8oz,Label,C,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,30,3,1,500,pcs,0.3605,0,0.3605,1,0.3605,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
LABL-10.5905x1.6418-AY-Stardust-Sulfur-Scrub-8oz,Label,C,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,30,3,1,500,pcs,0.52,0,0.52,1,0.52,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
RM-PWD-Tea-MatchGreen,Raw Material,C,Ikeda Tea World,"18281 Gothard Street, Suite 109, Huntington Beach, CA 92648",nemo@ikedamatcha.com,714-907-4226,10,30,60,30,3,1,20,kg,35,0,35,1,35,Kg,Ikeda Tea World,"18281 Gothard Street, Suite 109, Huntington Beach, CA 92648",nemo@ikedamatcha.com,714-907-4226,CBS,,,,,,,,,1,43,,,,,,,,,,,
RM-PWD-L-Citrulline-Malate-2:1,Raw Material,C,JHD Corp,"36 Saw Mill Pond Road,Edison,NJ, 08817",,909-450-1735,10,10,60,30,3,25,20,kg,10.3,1.175,11.475,1,11.475,Kg,Haigen,"No.3 Taoyuan Road,Taiwan Industry Park,QuFu 273100,China",cheryl.zhang@jhdcorp.com,909-450-1735,NET30,,,,,,,,,1,23,,,,,,,,,,,
LABL-TA-Psoriasis-Side,Label,B,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,30,3,1,500,pcs,0.16,0,0.16,1,0.16,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
LABL-AY-Crepe-Repair-Side,Label,A,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,30,3,1,500,pcs,0.125,0,0.125,1,0.125,Pcs,,,ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
TA-Stem-Cell-Aloe-Vera-Gel-PLSF,Turnkey FG,,PLSF,"150 Douglas Ave Dunedin, FL 34698",,,100,47,60,30,3,1,500,pcs,4.5,0,4.5,1,4.5,Pcs,PLSF,"150 Douglas Ave Dunedin, FL 34698",orders@privatelabel.net,17274661703,Due Upon Reciept,,,,,,,,,1,150,,,,,,,,,,,
Label AY-Here-Comes-The-Sun-Room-Spray 16oz,Label,,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardLabels.com,888-277-3037,6,3,60,30,3,1,500,pcs,0.65,0,0.65,1,0.65,Pcs,Wizard Labels,"29135 Summit Ranch Dr, Golden, Colorado 80401",ashley@wizardlabels.com,888-277-3037,CBS,,,,,,,,,1,12,,,,,,,,,,,
RM-PWD-Black-Tea-Extract-Iced,Raw Material,,Passiono,"606, No. 1818 Huangxing Road, Shanghai, China",karen@passiono.com,86-21-5505-0973,10,44,60,30,3,1,100,kg,9.65,0,9.65,1,9.65,Kg,Passiono,"606, No. 1818 Huangxing Road, Shanghai, China",karen@passiono.com,86-21-5505-0973,NET30,,,,,,,,,1,57,,,,,,,,,,,
Acne-Patches-UnLabeled,White Label,,Hebei Houde Hanfang Medical,"RM1603 Jinhe Intl Business Building A, NO.42 Huan WestRd,Zhengding County Shijiazhuang City CN-13 Hebei 050899 CN",,,20,30,60,30,3,1,10000,pcs,0.15,,0.15,1,0.15,Pcs,Hebei Houde Hanfang Medical,"RM1603 Jinhe Intl Business Building A, NO.42 Huan WestRd,Zhengding County Shijiazhuang City CN-13 Hebei 050899 CN",,,CBS,,,,,,,,,1,53,,,,,,,,,,,
TA-Stem-Cell-Eye-Serum-PLSF,Turnkey FG,,PLSF,"150 Douglas Ave Dunedin, FL 34698",,,100,47,60,30,3,1,300,pcs,7.5,,7.5,1,7.5,Pcs,PLSF,"150 Douglas Ave Dunedin, FL 34698",orders@privatelabel.net,17274661703,Due Upon Reciept,,,,,,,,,1,150,,,,,,,,,,,
RM-PWD-Pu-erh-Tea,Raw Material,C,Passiono,"606, No. 1818 Huangxing Road, Shanghai, China",karen@passiono.com,86-21-5505-0973,10,44,60,30,3,1,40,kg,24,0,24,1,24,Kg,Passiono,"606, No. 1818 Huangxing Road, Shanghai, China",karen@passiono.com,86-21-5505-0973,NET30,,,,,,,,,1,57,,,,,,,,,,,
BTL-250cc-white-B717WH,Container/Pouch,,Container and Packaging,"1345 E State St. Eagle, ID 83616 USA",Jared.Murray@containers.com,(208) 639-5868,7,7,60,30,3,1,500,pcs,0.2,,0.2,1,0.2,Pcs,Container and Packaging,,Jared.Murray@containers.com,(208) 639-5868,NET45,https://www.containerandpackaging.com/products/hdpe-packer-bottle/B717WH,B717WH,,,,,,,1,17,,,,,,,,,,,
STCK-OL5400CK,Sticker,,INACTIVE,,,,5,7,60,30,3,1,500,pcs,0.74,,0.74,1,0.74,Pcs,,,,,CBS,,,,,,,,,1,15,,,,,,,,,,,
RM-CAPS-IN-BTL-ACTIVESPORT,Raw Material,,INACTIVE,,,,5,7,60,30,3,1,500,pcs,7.3,,7.3,1,7.3,Pcs,,,,,CBS,,,,,,,,,1,15,,,,,,,,,,,
CAP-White-L205WHP1,Top Cover,,INACTIVE,,,,5,7,60,30,3,1,500,pcs,0.1,0,0.1,1,0.1,Pcs,,,,,CBS,,,,,,,,,1,15,,,,,,,,,,,
TA-Retinol-Cream-PLSF,Turnkey FG,C,PLSF,"150 Douglas Ave Dunedin, FL 34698",,,100,47,60,30,3,1,500,pcs,3.5,0,3.5,1,3.5,Pcs,PLSF,"150 Douglas Ave Dunedin, FL 34698",orders@privatelabel.net,17274661703,Due Upon Reciept,,,,,,,,,1,150,,,,,,,,,,,
TA-Hair-Growth-Stem-Cell-Conditioner-PLSF,Turnkey FG,,PLSF,"150 Douglas Ave Dunedin, FL 34698",,,100,47,60,30,3,1,300,pcs,5.75,,5.75,1,5.75,Pcs,PLSF,"150 Douglas Ave Dunedin, FL 34698",orders@privatelabel.net,17274661703,Due Upon Reciept,,,,,,,,,1,150,,,,,,,,,,,
Ayadara-Rose-Stem-Cell-Clay-Mask-8oz-PLSF,Turnkey FG,,PLSF,"150 Douglas Ave Dunedin, FL 34698",,,100,47,60,30,3,1,125,pcs,6,,6,1,6,Pcs,PLSF,"150 Douglas Ave Dunedin, FL 34698",orders@privatelabel.net,17274661703,Due Upon Reciept,,,,,,,,,1,150,,,,,,,,,,,
LABL-7.5X3-Golf120-WH-HiGL,Label,,INACTIVE,,,,5,7,60,30,3,1,500,pcs,0.24,,0.24,1,0.24,Pcs,,,,,CBS,,,,,,,,,1,15,,,,,,,,,,,
Ayadara-Rose-Stem-Cell-Scrub-8oz-PLSF,Turnkey FG,,PLSF,"150 Douglas Ave Dunedin, FL 34698",,,100,47,60,30,3,1,500,pcs,5,0,5,1,5,Pcs,PLSF,"150 Douglas Ave Dunedin, FL 34698",orders@privatelabel.net,17274661703,Due Upon Reciept,,,,,,,,,1,150,,,,,,,,,,,
RM-PWD-BetaAlanine,Raw Material,C,Nutravative,"601 Century Parkway, Suite 200 Allen, TX 7503",marvin@nutravative.com,469-361-3361,6,5,60,30,3,1,25,kg,4.8,2.5,7.3,1,7.3,Kg,Nutravative,"601 Century Parkway, Suite 200 Allen, TX 7503",marvin@nutravative.com,469-361-3361,NET30,,,,,,,,,1,14,,,,,,,,,,,
